dataset,source,result_file,train_size,seed,repetition,noise_level,skeleton_recall,skeleton_precision,skeleton_shd,direction_precision,direction_recall,v_structure_precision,v_structure_recall,v_structure_f1,directed_edges,undirected_edges,skeleton_edges,v_structures
csuite_large_backdoor,csuite,causal_experiments/results/comparison_experiment/data/result_csuite_large_backdoor_comparison_experiment_cleaned_reps_100.csv,20,0,1,,0.1111111111111111,1.0,8.0,,0.0,,0.0,,0.0,1.0,1.0,0.0
csuite_large_backdoor,csuite,causal_experiments/results/comparison_experiment/data/result_csuite_large_backdoor_comparison_experiment_cleaned_reps_100.csv,20,1,2,,0.1111111111111111,0.5,9.0,,0.0,,0.0,,0.0,2.0,2.0,0.0
csuite_large_backdoor,csuite,causal_experiments/results/comparison_experiment/data/result_csuite_large_backdoor_comparison_experiment_cleaned_reps_100.csv,20,2,3,,0.1111111111111111,0.3333333333333333,10.0,,0.0,,0.0,,0.0,3.0,3.0,0.0
csuite_large_backdoor,csuite,causal_experiments/results/comparison_experiment/data/result_csuite_large_backdoor_comparison_experiment_cleaned_reps_100.csv,20,3,4,,0.1111111111111111,1.0,8.0,,0.0,,0.0,,0.0,1.0,1.0,0.0
csuite_large_backdoor,csuite,causal_experiments/results/comparison_experiment/data/result_csuite_large_backdoor_comparison_experiment_cleaned_reps_100.csv,20,4,5,,0.1111111111111111,1.0,8.0,,0.0,,0.0,,0.0,1.0,1.0,0.0
csuite_large_backdoor,csuite,causal_experiments/results/comparison_experiment/data/result_csuite_large_backdoor_comparison_experiment_cleaned_reps_100.csv,20,5,6,,0.1111111111111111,0.3333333333333333,10.0,,0.0,,0.0,,0.0,3.0,3.0,0.0
csuite_large_backdoor,csuite,causal_experiments/results/comparison_experiment/data/result_csuite_large_backdoor_comparison_experiment_cleaned_reps_100.csv,20,6,7,,0.1111111111111111,0.5,9.0,,0.0,,0.0,,0.0,2.0,2.0,0.0
csuite_large_backdoor,csuite,causal_experiments/results/comparison_experiment/data/result_csuite_large_backdoor_comparison_experiment_cleaned_reps_100.csv,20,7,8,,0.0,0.0,10.0,,0.0,,0.0,,0.0,1.0,1.0,0.0
csuite_large_backdoor,csuite,causal_experiments/results/comparison_experiment/data/result_csuite_large_backdoor_comparison_experiment_cleaned_reps_100.csv,20,8,9,,0.1111111111111111,0.5,9.0,,0.0,,0.0,,0.0,2.0,2.0,0.0
csuite_large_backdoor,csuite,causal_experiments/results/comparison_experiment/data/result_csuite_large_backdoor_comparison_experiment_cleaned_reps_100.csv,20,9,10,,0.1111111111111111,0.5,9.0,,0.0,,0.0,,0.0,2.0,2.0,0.0
csuite_large_backdoor,csuite,causal_experiments/results/comparison_experiment/data/result_csuite_large_backdoor_comparison_experiment_cleaned_reps_100.csv,20,10,11,,0.1111111111111111,1.0,8.0,,0.0,,0.0,,0.0,1.0,1.0,0.0
csuite_large_backdoor,csuite,causal_experiments/results/comparison_experiment/data/result_csuite_large_backdoor_comparison_experiment_cleaned_reps_100.csv,20,11,12,,0.1111111111111111,0.5,9.0,,0.0,,0.0,,0.0,2.0,2.0,0.0
csuite_large_backdoor,csuite,causal_experiments/results/comparison_experiment/data/result_csuite_large_backdoor_comparison_experiment_cleaned_reps_100.csv,20,12,13,,0.0,0.0,11.0,,0.0,,0.0,,0.0,2.0,2.0,0.0
csuite_large_backdoor,csuite,causal_experiments/results/comparison_experiment/data/result_csuite_large_backdoor_comparison_experiment_cleaned_reps_100.csv,20,13,14,,0.1111111111111111,0.3333333333333333,10.0,,0.0,,0.0,,0.0,3.0,3.0,0.0
csuite_large_backdoor,csuite,causal_experiments/results/comparison_experiment/data/result_csuite_large_backdoor_comparison_experiment_cleaned_reps_100.csv,20,14,15,,0.1111111111111111,0.3333333333333333,10.0,,0.0,,0.0,,0.0,3.0,3.0,0.0
csuite_large_backdoor,csuite,causal_experiments/results/comparison_experiment/data/result_csuite_large_backdoor_comparison_experiment_cleaned_reps_100.csv,20,15,16,,0.0,0.0,11.0,,0.0,,0.0,,0.0,2.0,2.0,0.0
csuite_large_backdoor,csuite,causal_experiments/results/comparison_experiment/data/result_csuite_large_backdoor_comparison_experiment_cleaned_reps_100.csv,20,16,17,,0.1111111111111111,0.3333333333333333,10.0,,0.0,,0.0,,0.0,3.0,3.0,0.0
csuite_large_backdoor,csuite,causal_experiments/results/comparison_experiment/data/result_csuite_large_backdoor_comparison_experiment_cleaned_reps_100.csv,20,17,18,,0.0,0.0,10.0,,0.0,,0.0,,0.0,1.0,1.0,0.0
csuite_large_backdoor,csuite,causal_experiments/results/comparison_experiment/data/result_csuite_large_backdoor_comparison_experiment_cleaned_reps_100.csv,20,18,19,,0.1111111111111111,0.5,9.0,,0.0,,0.0,,0.0,2.0,2.0,0.0
csuite_large_backdoor,csuite,causal_experiments/results/comparison_experiment/data/result_csuite_large_backdoor_comparison_experiment_cleaned_reps_100.csv,20,19,20,,0.0,0.0,10.0,,0.0,,0.0,,0.0,1.0,1.0,0.0
csuite_large_backdoor,csuite,causal_experiments/results/comparison_experiment/data/result_csuite_large_backdoor_comparison_experiment_cleaned_reps_100.csv,20,20,21,,0.1111111111111111,0.3333333333333333,10.0,,0.0,,0.0,,0.0,3.0,3.0,0.0
csuite_large_backdoor,csuite,causal_experiments/results/comparison_experiment/data/result_csuite_large_backdoor_comparison_experiment_cleaned_reps_100.csv,20,21,22,,0.0,,9.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
csuite_large_backdoor,csuite,causal_experiments/results/comparison_experiment/data/result_csuite_large_backdoor_comparison_experiment_cleaned_reps_100.csv,20,22,23,,0.1111111111111111,0.3333333333333333,10.0,,0.0,,0.0,,0.0,3.0,3.0,0.0
csuite_large_backdoor,csuite,causal_experiments/results/comparison_experiment/data/result_csuite_large_backdoor_comparison_experiment_cleaned_reps_100.csv,20,23,24,,0.1111111111111111,0.25,11.0,,0.0,,0.0,,0.0,4.0,4.0,0.0
csuite_large_backdoor,csuite,causal_experiments/results/comparison_experiment/data/result_csuite_large_backdoor_comparison_experiment_cleaned_reps_100.csv,20,24,25,,0.1111111111111111,1.0,8.0,,0.0,,0.0,,0.0,1.0,1.0,0.0
csuite_large_backdoor,csuite,causal_experiments/results/comparison_experiment/data/result_csuite_large_backdoor_comparison_experiment_cleaned_reps_100.csv,20,25,26,,0.1111111111111111,1.0,8.0,,0.0,,0.0,,0.0,1.0,1.0,0.0
csuite_large_backdoor,csuite,causal_experiments/results/comparison_experiment/data/result_csuite_large_backdoor_comparison_experiment_cleaned_reps_100.csv,20,26,27,,0.1111111111111111,0.3333333333333333,10.0,,0.0,,0.0,,0.0,3.0,3.0,0.0
csuite_large_backdoor,csuite,causal_experiments/results/comparison_experiment/data/result_csuite_large_backdoor_comparison_experiment_cleaned_reps_100.csv,20,27,28,,0.1111111111111111,0.3333333333333333,10.0,,0.0,,0.0,,0.0,3.0,3.0,0.0
csuite_large_backdoor,csuite,causal_experiments/results/comparison_experiment/data/result_csuite_large_backdoor_comparison_experiment_cleaned_reps_100.csv,20,28,29,,0.1111111111111111,1.0,8.0,,0.0,,0.0,,0.0,1.0,1.0,0.0
csuite_large_backdoor,csuite,causal_experiments/results/comparison_experiment/data/result_csuite_large_backdoor_comparison_experiment_cleaned_reps_100.csv,20,29,30,,0.0,,9.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
csuite_large_backdoor,csuite,causal_experiments/results/comparison_experiment/data/result_csuite_large_backdoor_comparison_experiment_cleaned_reps_100.csv,20,30,31,,0.1111111111111111,1.0,8.0,,0.0,,0.0,,0.0,1.0,1.0,0.0
csuite_large_backdoor,csuite,causal_experiments/results/comparison_experiment/data/result_csuite_large_backdoor_comparison_experiment_cleaned_reps_100.csv,20,31,32,,0.1111111111111111,0.5,9.0,,0.0,,0.0,,0.0,2.0,2.0,0.0
