algorithm,column_order,train_size,n_samples,mean_synthetic_corr_X0_X3,mean_synthetic_corr_X0_X2,std_synthetic_corr_X0_X3,std_synthetic_corr_X0_X2,mean_test_corr_X0_X3,mean_test_corr_X0_X2,mean_abs_diff_corr_X0_X3,mean_abs_diff_corr_X0_X2,max_abs_diff_corr_X0_X3,max_abs_diff_corr_X0_X2
cpdag_discovered,original,20,100,-0.13608108,-0.13384818,0.21460295,0.21576825,0.021689465843427843,0.02236602105285427,0.2160200854443516,0.21663950627263526,0.717652371727217,0.7225386837878396
cpdag_discovered,original,50,100,0.0050693857,0.005017628,0.19365162,0.19349639,0.021689465843427843,0.02236602105285427,0.14870946562438064,0.1502574815815325,0.5637644020688646,0.5666092892727683
cpdag_discovered,original,100,100,-0.022481324,-0.022280116,0.14318751,0.14458555,0.021689465843427843,0.02236602105285427,0.10993516056506973,0.11093968068876217,0.513669559158098,0.5256725808224509
cpdag_discovered,original,200,100,0.019471819,0.016510762,0.17785703,0.17544411,0.021689465843427843,0.02236602105285427,0.12034663883894403,0.11754712270217382,0.5221251932752244,0.5465395113072227
cpdag_discovered,original,500,100,0.016027981,0.019180274,0.14572166,0.15490268,0.021689465843427843,0.02236602105285427,0.08968907286939581,0.09290445482168075,0.46623919288040333,0.500856186970217
cpdag_minimal,original,20,100,0.0027943442,0.003808343,0.022564825,0.021309864,0.021689465843427843,0.02236602105285427,0.024816130313194268,0.024171112328347268,0.06907062103627988,0.06658280663277408
cpdag_minimal,original,50,100,-0.0011863952,-3.2027645e-05,0.023886882,0.023188429,0.021689465843427843,0.02236602105285427,0.027243812300206224,0.026565892879557844,0.07125752290366956,0.07271378137256404
cpdag_minimal,original,100,100,-0.0015539768,0.00039348603,0.024672316,0.019647304,0.021689465843427843,0.02236602105285427,0.02614529579760665,0.024868807004090828,0.16847447177051372,0.06735081620599528
cpdag_minimal,original,200,100,-0.0033120343,-0.001625843,0.028973352,0.025375498,0.021689465843427843,0.02236602105285427,0.02988346322603824,0.028759236805144073,0.16551739593623943,0.08744521834041377
cpdag_minimal,original,500,100,0.000243101,0.00048751384,0.022886083,0.022931613,0.021689465843427843,0.02236602105285427,0.025797926989770997,0.026038761505352507,0.07334734370588132,0.07963009946133395
dag,topological,20,100,0.0038354713,0.0033395889,0.021296065,0.020974802,0.021689465843427843,0.02236602105285427,0.023727794317328136,0.02451426236365621,0.06611695384262868,0.06968953855420848
dag,topological,50,100,-2.567634e-05,-5.147243e-05,0.023168158,0.023652581,0.021689465843427843,0.02236602105285427,0.026131524897283792,0.026859709987589207,0.0717159124243147,0.07262036599303981
dag,topological,100,100,0.00038800592,0.00052532763,0.019645356,0.019634949,0.021689465843427843,0.02236602105285427,0.024373273117065296,0.02474356050908236,0.06645312403916188,0.06820392631079455
dag,topological,200,100,-0.0016116954,-0.0013963969,0.025372032,0.025549328,0.021689465843427843,0.02236602105285427,0.028302969575800994,0.028623400930487593,0.0868502022850401,0.08844210602428218
dag,topological,500,100,0.0004830732,0.0005283871,0.022934252,0.022967206,0.021689465843427843,0.02236602105285427,0.025567818893202938,0.02610220782797774,0.07896788289426633,0.07824227608825465
vanilla,original,20,100,-0.1467618,-0.14455709,0.20528173,0.20647715,0.021689465843427843,0.02236602105285427,0.21492506172753165,0.21545849489988164,0.717652371727217,0.7225386837878396
vanilla,original,50,100,-0.025585292,-0.025549645,0.14439237,0.14357921,0.021689465843427843,0.02236602105285427,0.12042745551333411,0.12178166046052954,0.433834365211714,0.43039521969939964
vanilla,original,100,100,-0.042569455,-0.042503137,0.11337316,0.1134739,0.021689465843427843,0.02236602105285427,0.10034618450687205,0.10082663989736132,0.3235728057253248,0.3222042659678628
vanilla,original,200,100,-0.029343564,-0.03437826,0.09850462,0.07993698,0.021689465843427843,0.02236602105285427,0.08325092131067655,0.07808572230369802,0.513061055339586,0.24467926122333308
vanilla,original,500,100,-0.027457977,-0.02722616,0.042717755,0.0423989,0.021689465843427843,0.02236602105285427,0.05484295506644006,0.054951322471091156,0.17363505681632824,0.17324421204711696
vanilla,reverse_topological,20,100,-0.12147427,-0.11858427,0.2017819,0.2039376,0.021689465843427843,0.02236602105285427,0.20218063360406233,0.2015943455146646,0.6923088343965895,0.6986819247164895
vanilla,reverse_topological,50,100,-0.032673944,-0.034023806,0.14832811,0.14560534,0.021689465843427843,0.02236602105285427,0.12821069183034686,0.12532523749125424,0.44476985057472057,0.44490757979537743
vanilla,reverse_topological,100,100,-0.048523422,-0.047444567,0.10199861,0.10181221,0.021689465843427843,0.02236602105285427,0.09661286953781172,0.0968839791291629,0.3190167160856611,0.3192791084208657
vanilla,reverse_topological,200,100,-0.035364356,-0.028044455,0.082408555,0.10863863,0.021689465843427843,0.02236602105285427,0.08329810350712402,0.08944972005232733,0.24236019571899242,0.6577717920384238
vanilla,reverse_topological,500,100,-0.03294664,-0.032084152,0.038947508,0.038848557,0.021689465843427843,0.02236602105285427,0.057803568919536204,0.05771010905043184,0.1536524506437666,0.154577065483587
vanilla,topological,20,100,-0.01459171,-0.014097814,0.11576836,0.115088664,0.021689465843427843,0.02236602105285427,0.08130335250577969,0.08149092574764889,0.48461203893302746,0.4893904665866067
vanilla,topological,50,100,0.0051662307,0.0059215254,0.07548784,0.07598105,0.021689465843427843,0.02236602105285427,0.0534501471973197,0.05353663938780549,0.32971408089279003,0.3275011519351174
vanilla,topological,100,100,-0.017480604,-0.017229216,0.06373681,0.063351676,0.021689465843427843,0.02236602105285427,0.05103988704765801,0.051149640839930545,0.265742084585417,0.266295004860418
vanilla,topological,200,100,-0.012027333,-0.011859233,0.042248,0.042313132,0.021689465843427843,0.02236602105285427,0.03932910927518929,0.03967931518471178,0.16321108361362285,0.16300285257484218
vanilla,topological,500,100,-0.0035751236,-0.003249564,0.025260536,0.025077324,0.021689465843427843,0.02236602105285427,0.02874198563312123,0.028964888554493137,0.10409503301261731,0.1024031082549264
