dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,comparison,is_significant
custom_scm_noise1e-2,20,1.1448069214820862,0.8445702791213989,1.5082247202813308,1.0436647815408658e-15,5.218323907704329e-15,vanilla_vs_cpdag_minimal,True
custom_scm_noise1e-2,50,0.9151606559753418,0.6986306796907745,1.1557344198226929,1.5579198910001615e-16,6.231679564000646e-16,vanilla_vs_cpdag_minimal,True
custom_scm_noise1e-2,100,0.5957776308059692,0.430739993375508,0.7945022528588455,7.245464848115238e-16,3.6709422581123766e-15,vanilla_vs_cpdag_minimal,True
custom_scm_noise1e-2,200,0.217218762117656,0.1222879886627197,0.3182491009652297,5.0442126304009286e-08,2.0176850521603717e-07,vanilla_vs_cpdag_minimal,True
custom_scm_noise1e-2,500,0.1552228358775536,0.0871510505676269,0.2249871437966506,3.919452682493509e-08,2.3516716094961057e-07,vanilla_vs_cpdag_minimal,True
custom_scm_noise1e-2,1000,0.0517038675755103,-0.0031975562155563,0.1077022552490234,0.0139556757358696,0.0697783786793484,vanilla_vs_cpdag_minimal,False
custom_scm_noise1e-2,20,0.0,0.0,0.0,0.0832750040512064,0.0832750040512064,vanilla_vs_cpdag_discovered,False
custom_scm_noise1e-2,50,0.0,0.0,0.0,0.4000732209381242,0.4000732209381242,vanilla_vs_cpdag_discovered,False
custom_scm_noise1e-2,100,0.0,0.0,0.0,0.0455141763149142,0.0455141763149142,vanilla_vs_cpdag_discovered,False
custom_scm_noise1e-2,200,0.0,0.0,0.0,0.3173105078629141,0.6346210157258283,vanilla_vs_cpdag_discovered,False
custom_scm_noise1e-2,500,0.0,0.0,0.0,0.0455141763149142,0.1243720513759562,vanilla_vs_cpdag_discovered,False
custom_scm_noise1e-2,1000,0.0,0.0,0.0,0.674639262595624,1.0,vanilla_vs_cpdag_discovered,False
