dataset,dataset_display,is_noise_robustness,outcome_units,intervention_variable,target_variable,intervention_values,algorithm,column_order,condition,train_size,n_seeds,ate_test,abs_ate_test,median_ate_synthetic,median_ate_synthetic_ci_low,median_ate_synthetic_ci_high,median_abs_error,median_abs_error_ci_low,median_abs_error_ci_high,iqr_abs_error_low,iqr_abs_error_high,mean_abs_error,median_relative_error_percent,median_relative_error_percent_ci_low,median_relative_error_percent_ci_high
csuite_large_backdoor,CSuite large backdoor,False,native outcome units,x7_0,x8_0,"0.5,2.5",cpdag_discovered,original,cpdag_discovered_original,20,100,-0.5931084840636468,0.5931084840636468,-0.20480500906705856,-0.2930598556995392,-0.1403165459632873,0.40241991123964543,0.32700626552104944,0.46303778886795044,0.205815219793818,0.5220749373625732,0.3663766554609827,67.84929267618799,56.34354863416943,77.73062736620317
csuite_large_backdoor,CSuite large backdoor,False,native outcome units,x7_0,x8_0,"0.5,2.5",cpdag_discovered,original,cpdag_discovered_original,50,100,-0.5931084840636468,0.5931084840636468,-0.3832836896181106,-0.4708471894264221,-0.2843607664108276,0.282317042350769,0.2203314811844611,0.3597936332225799,0.13978737733175509,0.42850504210998774,0.28355146712097806,47.599562295331026,37.14859711243267,60.082091228930345
csuite_large_backdoor,CSuite large backdoor,False,native outcome units,x7_0,x8_0,"0.5,2.5",cpdag_discovered,original,cpdag_discovered_original,100,100,-0.5931084840636468,0.5931084840636468,-0.5443859994411469,-0.588701069355011,-0.4862436503171921,0.1389586716037011,0.10385033488273615,0.1673293500285363,0.0619713172743213,0.2198444842438912,0.1619932882879022,23.428879427189138,17.54926180563967,28.212267152560262
csuite_large_backdoor,CSuite large backdoor,False,native outcome units,x7_0,x8_0,"0.5,2.5",cpdag_discovered,original,cpdag_discovered_original,200,100,-0.5931084840636468,0.5931084840636468,-0.6094844341278076,-0.6333782970905304,-0.5792135000228882,0.07981661847641225,0.06723996996879575,0.1167237074036383,0.03553682122920865,0.16107668587157958,0.1056505771909514,13.457338854698818,11.32162376179716,19.67999287481321
csuite_large_backdoor,CSuite large backdoor,False,native outcome units,x7_0,x8_0,"0.5,2.5",cpdag_discovered,original,cpdag_discovered_original,500,100,-0.5931084840636468,0.5931084840636468,-0.621528834104538,-0.644075870513916,-0.6074222922325134,0.0531750619411468,0.0401858775954461,0.0633948533873772,0.023650637354352425,0.10088877682184093,0.06881522950451116,8.96548664703312,6.775468346046069,10.86362774612428
csuite_large_backdoor,CSuite large backdoor,False,native outcome units,x7_0,x8_0,"0.5,2.5",cpdag_discovered,original,cpdag_discovered_original,1000,100,-0.5931084840636468,0.5931084840636468,-0.6390376091003418,-0.6531245708465576,-0.6270086765289307,0.05599190899322265,0.04414992639014955,0.0645089656967902,0.02685644779895655,0.08752829441020722,0.06008056878544382,9.44041612920414,7.4616103986436295,10.876419311153821
csuite_large_backdoor,CSuite large backdoor,False,native outcome units,x7_0,x8_0,"0.5,2.5",cpdag_minimal,original,cpdag_minimal_original,20,100,-0.5931084840636468,0.5931084840636468,-0.3148943930864334,-0.3904929459095001,-0.2602329850196838,0.3313633888106561,0.2754382430653787,0.39042679360916377,0.17566580768133278,0.47100002831628085,0.3307539757381706,55.8689342193084,46.87711276577179,65.69584690864859
csuite_large_backdoor,CSuite large backdoor,False,native outcome units,x7_0,x8_0,"0.5,2.5",cpdag_minimal,original,cpdag_minimal_original,50,100,-0.5931084840636468,0.5931084840636468,-0.4327290952205658,-0.4804978370666504,-0.36913014762103685,0.2466105073690414,0.1986509054045891,0.2743107587952399,0.13048435143043752,0.3582244194190717,0.2552397422151174,41.5793255357611,33.307470305581134,46.27597674376952
csuite_large_backdoor,CSuite large backdoor,False,native outcome units,x7_0,x8_0,"0.5,2.5",cpdag_minimal,original,cpdag_minimal_original,100,100,-0.5931084840636468,0.5931084840636468,-0.5245985388755798,-0.5769541785120964,-0.46503946185112,0.14672943949699402,0.1191997914653039,0.1673476188521599,0.07337009021232363,0.22754592750762814,0.16174232091941865,24.73905591295645,20.4550260506931,28.21534733504197
csuite_large_backdoor,CSuite large backdoor,False,native outcome units,x7_0,x8_0,"0.5,2.5",cpdag_minimal,original,cpdag_minimal_original,200,100,-0.5931084840636468,0.5931084840636468,-0.5764493644237518,-0.6231953799724579,-0.55563060939312,0.08783045411109919,0.06823461362312075,0.1010697572570061,0.041166003091086124,0.14413281389663457,0.10117191379921041,14.808497344252135,11.53308369079154,17.04068648024268
