algorithm,column_order,actual_column_order,graph_structure,graph_nodes,graph_edges,undirected_edges,train_size,seed,repetition,categorical_cols,correlation_matrix_difference,k_marginal_tvd,nnaa,reordered_dataset_path,rex_graph_path,synthetic_data_path,test_dataset_path,train_dataset_path
dag_discovered,topological,"x4_0,x6_0,x8_0,x5_0,x7_0,x3_0,x1_0,x0_0,x2_0","{0: [], 1: [], 2: [1], 3: [0, 1, 2], 4: [3, 1, 2], 5: [3, 4, 2], 6: [5, 3, 2], 7: [6, 1], 8: [6, 4]}",9,17,0,20,0,1,,1.8157057644212968,0.3515833333333333,0.7222500000000001,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_large_backdoor/datasets/reordered/reordered_dag_discovered_topological_ts20_s0.npz,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/rex_graphs/anm_allnpz_ts20_100_500/comparison/csuite_large_backdoor/ts20_s0/rex_union.json,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_large_backdoor/datasets/synthetic/synthetic_dag_rex_topological_ts20_s0.npz,datasets/global_test_set.npz,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_large_backdoor/datasets/train_ts20_s0.npz
dag_discovered,topological,"x1_0,x6_0,x0_0,x8_0,x2_0,x7_0,x5_0,x3_0,x4_0","{0: [], 1: [], 2: [0, 1], 3: [1], 4: [2, 3], 5: [4, 1], 6: [5, 3], 7: [6, 5], 8: [4, 6, 1]}",9,14,0,20,1,2,,1.5419990759273114,0.328138888888889,0.636,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_large_backdoor/datasets/reordered/reordered_dag_discovered_topological_ts20_s1.npz,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/rex_graphs/anm_allnpz_ts20_100_500/comparison/csuite_large_backdoor/ts20_s1/rex_union.json,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_large_backdoor/datasets/synthetic/synthetic_dag_rex_topological_ts20_s1.npz,datasets/global_test_set.npz,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_large_backdoor/datasets/train_ts20_s1.npz
dag_discovered,topological,"x1_0,x5_0,x0_0,x3_0,x6_0,x7_0,x4_0,x2_0,x8_0","{0: [], 1: [], 2: [0], 3: [0, 1], 4: [1], 5: [1], 6: [4, 5], 7: [3, 6], 8: [2, 7, 4]}",9,12,0,20,2,3,,2.1031652020331584,0.370375,0.69575,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_large_backdoor/datasets/reordered/reordered_dag_discovered_topological_ts20_s2.npz,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/rex_graphs/anm_allnpz_ts20_100_500/comparison/csuite_large_backdoor/ts20_s2/rex_union.json,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_large_backdoor/datasets/synthetic/synthetic_dag_rex_topological_ts20_s2.npz,datasets/global_test_set.npz,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_large_backdoor/datasets/train_ts20_s2.npz
dag_discovered,topological,"x3_0,x4_0,x8_0,x1_0,x5_0,x0_0,x2_0,x7_0,x6_0","{0: [], 1: [], 2: [], 3: [0], 4: [1], 5: [3], 6: [3, 0], 7: [1, 4], 8: [1, 7]}",9,9,0,20,3,4,,2.618386796957292,0.3634305555555557,0.70375,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_large_backdoor/datasets/reordered/reordered_dag_discovered_topological_ts20_s3.npz,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/rex_graphs/anm_allnpz_ts20_100_500/comparison/csuite_large_backdoor/ts20_s3/rex_union.json,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_large_backdoor/datasets/synthetic/synthetic_dag_rex_topological_ts20_s3.npz,datasets/global_test_set.npz,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_large_backdoor/datasets/train_ts20_s3.npz
dag_discovered,topological,"x3_0,x8_0,x5_0,x7_0,x2_0,x1_0,x4_0,x0_0,x6_0","{0: [], 1: [], 2: [0], 3: [2, 1], 4: [0, 2, 3], 5: [4, 0], 6: [4], 7: [5], 8: [0, 6, 2, 1]}",9,14,0,20,4,5,,1.653791009930107,0.3042638888888889,0.637,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_large_backdoor/datasets/reordered/reordered_dag_discovered_topological_ts20_s4.npz,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/rex_graphs/anm_allnpz_ts20_100_500/comparison/csuite_large_backdoor/ts20_s4/rex_union.json,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_large_backdoor/datasets/synthetic/synthetic_dag_rex_topological_ts20_s4.npz,datasets/global_test_set.npz,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_large_backdoor/datasets/train_ts20_s4.npz
dag_discovered,topological,"x1_0,x5_0,x6_0,x7_0,x4_0,x2_0,x0_0,x3_0,x8_0","{0: [], 1: [], 2: [], 3: [1], 4: [2], 5: [0, 4], 6: [0, 5, 1, 2], 7: [5, 1], 8: [5, 7]}",9,12,0,20,5,6,,2.056366225050233,0.3272916666666667,0.67425,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_large_backdoor/datasets/reordered/reordered_dag_discovered_topological_ts20_s5.npz,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/rex_graphs/anm_allnpz_ts20_100_500/comparison/csuite_large_backdoor/ts20_s5/rex_union.json,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_large_backdoor/datasets/synthetic/synthetic_dag_rex_topological_ts20_s5.npz,datasets/global_test_set.npz,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_large_backdoor/datasets/train_ts20_s5.npz
dag_discovered,topological,"x1_0,x3_0,x4_0,x0_0,x5_0,x6_0,x7_0,x2_0,x8_0","{0: [], 1: [], 2: [], 3: [0], 4: [1], 5: [1], 6: [4], 7: [3, 2, 5], 8: [1, 2, 5]}",9,10,0,20,6,7,,2.458441091681437,0.3326805555555555,0.6799999999999999,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_large_backdoor/datasets/reordered/reordered_dag_discovered_topological_ts20_s6.npz,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/rex_graphs/anm_allnpz_ts20_100_500/comparison/csuite_large_backdoor/ts20_s6/rex_union.json,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_large_backdoor/datasets/synthetic/synthetic_dag_rex_topological_ts20_s6.npz,datasets/global_test_set.npz,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_large_backdoor/datasets/train_ts20_s6.npz
dag_discovered,topological,"x6_0,x8_0,x1_0,x3_0,x5_0,x7_0,x2_0,x4_0,x0_0","{0: [], 1: [0], 2: [1], 3: [2, 1], 4: [3, 1], 5: [4], 6: [0, 5, 1], 7: [6], 8: [2, 6, 7, 5]}",9,15,0,20,7,8,,2.3962609476901315,0.3387222222222222,0.667,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_large_backdoor/datasets/reordered/reordered_dag_discovered_topological_ts20_s7.npz,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/rex_graphs/anm_allnpz_ts20_100_500/comparison/csuite_large_backdoor/ts20_s7/rex_union.json,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_large_backdoor/datasets/synthetic/synthetic_dag_rex_topological_ts20_s7.npz,datasets/global_test_set.npz,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_large_backdoor/datasets/train_ts20_s7.npz
dag_discovered,topological,"x1_0,x2_0,x5_0,x0_0,x6_0,x4_0,x7_0,x8_0,x3_0","{0: [], 1: [], 2: [], 3: [0, 1, 2], 4: [1, 2], 5: [1, 4], 6: [2, 4], 7: [1, 2, 4], 8: [0, 5, 6]}",9,15,0,20,8,9,,2.396023209318378,0.3236388888888888,0.6699999999999999,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_large_backdoor/datasets/reordered/reordered_dag_discovered_topological_ts20_s8.npz,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/rex_graphs/anm_allnpz_ts20_100_500/comparison/csuite_large_backdoor/ts20_s8/rex_union.json,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_large_backdoor/datasets/synthetic/synthetic_dag_rex_topological_ts20_s8.npz,datasets/global_test_set.npz,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_large_backdoor/datasets/train_ts20_s8.npz
dag_discovered,topological,"x4_0,x5_0,x2_0,x6_0,x7_0,x8_0,x0_0,x1_0,x3_0","{0: [], 1: [], 2: [0], 3: [0], 4: [1], 5: [0, 3, 4], 6: [2, 5], 7: [6], 8: [6, 7, 1]}",9,12,0,20,9,10,,1.645049106021616,0.3228194444444445,0.62475,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_large_backdoor/datasets/reordered/reordered_dag_discovered_topological_ts20_s9.npz,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/rex_graphs/anm_allnpz_ts20_100_500/comparison/csuite_large_backdoor/ts20_s9/rex_union.json,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_large_backdoor/datasets/synthetic/synthetic_dag_rex_topological_ts20_s9.npz,datasets/global_test_set.npz,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_large_backdoor/datasets/train_ts20_s9.npz
