algorithm,column_order,actual_column_order,graph_structure,graph_nodes,graph_edges,undirected_edges,train_size,seed,repetition,categorical_cols,correlation_matrix_difference,k_marginal_tvd,nnaa,rex_graph_path,synthetic_data_path,test_dataset_path,train_dataset_path
dag_discovered,topological,"x2_0,x0_0,x6_0,x5_0,x1_0,x4_0,x8_0,x7_0,x3_0","{0: [], 1: [0], 2: [1, 0], 3: [2], 4: [1, 3], 5: [1, 3], 6: [1, 5, 3, 2], 7: [1, 3, 2, 6], 8: [1, 4, 0, 7, 6]}",9,21,0,20,0,1,,1.4853720409923736,0.3238472222222222,0.6815,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/rex_graphs/anm_allnpz_ts20_100_500/comparison/csuite_weak_arrows/ts20_s0/rex_union.json,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_weak_arrows/datasets/synthetic/synthetic_dag_rex_topological_ts20_s0.npz,datasets/global_test_set.npz,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_weak_arrows/datasets/train_ts20_s0.npz
dag_discovered,topological,"x3_0,x8_0,x1_0,x4_0,x6_0,x7_0,x2_0,x5_0,x0_0","{0: [], 1: [], 2: [0], 3: [1], 4: [0, 3], 5: [3, 1], 6: [3, 4], 7: [0, 5], 8: [6]}",9,11,0,20,1,2,,2.62272449644615,0.338375,0.68775,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/rex_graphs/anm_allnpz_ts20_100_500/comparison/csuite_weak_arrows/ts20_s1/rex_union.json,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_weak_arrows/datasets/synthetic/synthetic_dag_rex_topological_ts20_s1.npz,datasets/global_test_set.npz,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_weak_arrows/datasets/train_ts20_s1.npz
dag_discovered,topological,"x6_0,x8_0,x0_0,x5_0,x3_0,x7_0,x1_0,x4_0,x2_0","{0: [], 1: [], 2: [1], 3: [0, 1], 4: [3], 5: [3], 6: [2, 4, 3], 7: [6, 0], 8: [2, 6, 7]}",9,13,0,20,2,3,,2.056182742627413,0.3747777777777778,0.7037500000000001,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/rex_graphs/anm_allnpz_ts20_100_500/comparison/csuite_weak_arrows/ts20_s2/rex_union.json,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_weak_arrows/datasets/synthetic/synthetic_dag_rex_topological_ts20_s2.npz,datasets/global_test_set.npz,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_weak_arrows/datasets/train_ts20_s2.npz
dag_discovered,topological,"x1_0,x8_0,x4_0,x0_0,x6_0,x2_0,x3_0,x7_0,x5_0","{0: [], 1: [], 2: [1], 3: [0, 2], 4: [2], 5: [3], 6: [0, 4, 1], 7: [2, 4], 8: [7]}",9,11,0,20,3,4,,2.9870062761347973,0.3297638888888889,0.72175,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/rex_graphs/anm_allnpz_ts20_100_500/comparison/csuite_weak_arrows/ts20_s3/rex_union.json,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_weak_arrows/datasets/synthetic/synthetic_dag_rex_topological_ts20_s3.npz,datasets/global_test_set.npz,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_weak_arrows/datasets/train_ts20_s3.npz
dag_discovered,topological,"x0_0,x1_0,x5_0,x3_0,x7_0,x2_0,x4_0,x6_0,x8_0","{0: [], 1: [], 2: [], 3: [1], 4: [2], 5: [0, 2, 4], 6: [0, 5], 7: [6], 8: [6, 4]}",9,10,0,20,4,5,,2.77511895319022,0.3688194444444444,0.7144999999999999,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/rex_graphs/anm_allnpz_ts20_100_500/comparison/csuite_weak_arrows/ts20_s4/rex_union.json,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_weak_arrows/datasets/synthetic/synthetic_dag_rex_topological_ts20_s4.npz,datasets/global_test_set.npz,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_weak_arrows/datasets/train_ts20_s4.npz
dag_discovered,topological,"x2_0,x3_0,x8_0,x0_0,x5_0,x1_0,x4_0,x7_0,x6_0","{0: [], 1: [], 2: [], 3: [0], 4: [1], 5: [3, 1, 2], 6: [3, 0], 7: [3, 4, 2], 8: [6, 2]}",9,12,0,20,5,6,,2.111276609055732,0.323513888888889,0.655,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/rex_graphs/anm_allnpz_ts20_100_500/comparison/csuite_weak_arrows/ts20_s5/rex_union.json,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_weak_arrows/datasets/synthetic/synthetic_dag_rex_topological_ts20_s5.npz,datasets/global_test_set.npz,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_weak_arrows/datasets/train_ts20_s5.npz
dag_discovered,topological,"x0_0,x1_0,x4_0,x7_0,x3_0,x6_0,x5_0,x2_0,x8_0","{0: [], 1: [], 2: [], 3: [], 4: [1], 5: [2], 6: [3], 7: [0, 2, 5], 8: [6, 5]}",9,8,0,20,6,7,,2.7685416197679595,0.3674027777777778,0.7115,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/rex_graphs/anm_allnpz_ts20_100_500/comparison/csuite_weak_arrows/ts20_s6/rex_union.json,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_weak_arrows/datasets/synthetic/synthetic_dag_rex_topological_ts20_s6.npz,datasets/global_test_set.npz,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_weak_arrows/datasets/train_ts20_s6.npz
dag_discovered,topological,"x0_0,x1_0,x4_0,x2_0,x6_0,x8_0,x7_0,x3_0,x5_0","{0: [], 1: [], 2: [], 3: [0, 2], 4: [3, 2], 5: [4], 6: [3, 4, 5], 7: [0, 1, 6], 8: [0, 6]}",9,13,0,20,7,8,,2.3143471016214554,0.325236111111111,0.66325,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/rex_graphs/anm_allnpz_ts20_100_500/comparison/csuite_weak_arrows/ts20_s7/rex_union.json,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_weak_arrows/datasets/synthetic/synthetic_dag_rex_topological_ts20_s7.npz,datasets/global_test_set.npz,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_weak_arrows/datasets/train_ts20_s7.npz
dag_discovered,topological,"x0_0,x2_0,x6_0,x4_0,x8_0,x7_0,x3_0,x1_0,x5_0","{0: [], 1: [0], 2: [1], 3: [1, 2], 4: [0, 2], 5: [3, 2], 6: [3, 5, 4], 7: [6], 8: [7, 5]}",9,14,0,20,8,9,,1.860863890875907,0.3120138888888888,0.68075,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/rex_graphs/anm_allnpz_ts20_100_500/comparison/csuite_weak_arrows/ts20_s8/rex_union.json,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_weak_arrows/datasets/synthetic/synthetic_dag_rex_topological_ts20_s8.npz,datasets/global_test_set.npz,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_weak_arrows/datasets/train_ts20_s8.npz
dag_discovered,topological,"x1_0,x4_0,x7_0,x6_0,x5_0,x0_0,x3_0,x8_0,x2_0","{0: [], 1: [], 2: [], 3: [1], 4: [2], 5: [0, 3], 6: [0, 4], 7: [0, 4, 3], 8: [5, 1, 3, 2]}",9,13,0,20,9,10,,2.4885259182395743,0.3112361111111112,0.6325000000000001,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/rex_graphs/anm_allnpz_ts20_100_500/comparison/csuite_weak_arrows/ts20_s9/rex_union.json,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_weak_arrows/datasets/synthetic/synthetic_dag_rex_topological_ts20_s9.npz,datasets/global_test_set.npz,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_weak_arrows/datasets/train_ts20_s9.npz
