dataset,train_size,tabpfn_method,metric,n_pairs,tabularargn_median_loss,tabpfn_median_loss,median_loss_diff_tabularargn_minus_tabpfn,hodges_lehmann_diff_tabularargn_minus_tabpfn,wilcoxon_pratt_p_tabularargn_greater,tabpfn_better_fraction,tabularargn_better_fraction,tie_fraction,wilcoxon_pratt_p_holm_by_tabpfn_method
csuite_large_backdoor,20,TabPFN DAG-aware,CMD,100,3.5317554013798462,1.3352160080537603,2.164011879548579,2.139835924797245,1.9482799225479546e-18,1.0,0.0,0.0,1.4583275902991996e-16
csuite_large_backdoor,20,TabPFN vanilla original,CMD,100,3.5317554013798462,1.4970148079909829,2.0650641449286073,1.994727690612161,1.9482799225479546e-18,1.0,0.0,0.0,1.4600563538316172e-16
csuite_large_backdoor,20,TabPFN vanilla topological,CMD,100,3.5317554013798462,1.4677416014205469,2.057277972169736,2.044450019780701,1.9482799225479546e-18,1.0,0.0,0.0,1.4587390245802595e-16
csuite_large_backdoor,50,TabPFN DAG-aware,CMD,100,3.544252056713829,0.7588932661854768,2.778910568829814,2.786309705551135,1.9482799225479546e-18,1.0,0.0,0.0,1.4583275902991996e-16
csuite_large_backdoor,50,TabPFN vanilla original,CMD,100,3.544252056713829,0.890782884871614,2.6415598299625453,2.6386465467305404,1.9482799225479546e-18,1.0,0.0,0.0,1.4600563538316172e-16
csuite_large_backdoor,50,TabPFN vanilla topological,CMD,100,3.544252056713829,0.8496810728504663,2.684910325802605,2.6797006032266433,1.9482799225479546e-18,1.0,0.0,0.0,1.4587390245802595e-16
csuite_large_backdoor,100,TabPFN DAG-aware,CMD,100,3.552481069741889,0.5382542147400573,2.996085761054281,2.991988093514772,1.9482799225479546e-18,1.0,0.0,0.0,1.4583275902991996e-16
csuite_large_backdoor,100,TabPFN vanilla original,CMD,100,3.552481069741889,0.6529524467756989,2.8970705955270892,2.8956800149231157,1.9482799225479546e-18,1.0,0.0,0.0,1.4600563538316172e-16
csuite_large_backdoor,100,TabPFN vanilla topological,CMD,100,3.552481069741889,0.6245421845542883,2.9310324089001973,2.9233715314790025,1.9482799225479546e-18,1.0,0.0,0.0,1.4587390245802595e-16
csuite_large_backdoor,200,TabPFN DAG-aware,CMD,100,3.5465225224153927,0.4178266746044531,3.1429923295104123,3.1303451789850003,1.9482799225479546e-18,1.0,0.0,0.0,1.4583275902991996e-16
csuite_large_backdoor,200,TabPFN vanilla original,CMD,100,3.5465225224153927,0.47590757373691756,3.0728457271703116,3.072271308679447,1.9482799225479546e-18,1.0,0.0,0.0,1.4600563538316172e-16
csuite_large_backdoor,200,TabPFN vanilla topological,CMD,100,3.5465225224153927,0.4328823810358702,3.1146093159195,3.104914573062292,1.9482799225479546e-18,1.0,0.0,0.0,1.4587390245802595e-16
csuite_large_backdoor,500,TabPFN DAG-aware,CMD,100,3.542766470137445,0.30105148230904294,3.2346617910567033,3.2400616266571896,1.9482799225479546e-18,1.0,0.0,0.0,1.4583275902991996e-16
csuite_large_backdoor,500,TabPFN vanilla original,CMD,100,3.542766470137445,0.30393604914226946,3.230793006124915,3.227443663352946,1.9482799225479546e-18,1.0,0.0,0.0,1.4600563538316172e-16
csuite_large_backdoor,500,TabPFN vanilla topological,CMD,100,3.542766470137445,0.3086255187815668,3.218103049776894,3.2219937869614883,1.9482799225479546e-18,1.0,0.0,0.0,1.4587390245802595e-16
csuite_mixed_confounding,20,TabPFN DAG-aware,CMD,100,2.129613797259267,0.9731942501221684,1.1662924922712072,1.1695588270870898,1.9482799225479546e-18,1.0,0.0,0.0,1.4583275902991996e-16
csuite_mixed_confounding,20,TabPFN vanilla original,CMD,100,2.129613797259267,1.0962162605233114,1.0436470068958559,1.0371550332545925,1.9482799225479546e-18,1.0,0.0,0.0,1.4600563538316172e-16
csuite_mixed_confounding,20,TabPFN vanilla topological,CMD,100,2.129613797259267,1.096795300350625,1.0491434056693463,1.0400495344841365,1.9482799225479546e-18,1.0,0.0,0.0,1.4587390245802595e-16
csuite_mixed_confounding,50,TabPFN DAG-aware,CMD,100,2.12012120193882,0.62007762761464,1.503562262236145,1.49968987047574,1.9482799225479546e-18,1.0,0.0,0.0,1.4583275902991996e-16
csuite_mixed_confounding,50,TabPFN vanilla original,CMD,100,2.12012120193882,0.8005868990239526,1.315762765412102,1.319319954182807,1.9482799225479546e-18,1.0,0.0,0.0,1.4600563538316172e-16
csuite_mixed_confounding,50,TabPFN vanilla topological,CMD,100,2.12012120193882,0.7200588490377215,1.3998454172816004,1.4051101575067348,1.9482799225479546e-18,1.0,0.0,0.0,1.4587390245802595e-16
csuite_mixed_confounding,100,TabPFN DAG-aware,CMD,100,2.131425011455644,0.4440474603941079,1.6811924124136053,1.6799911177320785,1.9482799225479546e-18,1.0,0.0,0.0,1.4583275902991996e-16
csuite_mixed_confounding,100,TabPFN vanilla original,CMD,100,2.131425011455644,0.5900689263004555,1.528304776495054,1.524299025588216,1.9482799225479546e-18,1.0,0.0,0.0,1.4600563538316172e-16
csuite_mixed_confounding,100,TabPFN vanilla topological,CMD,100,2.131425011455644,0.4908446582344014,1.6280973074484153,1.6260707686441207,1.9482799225479546e-18,1.0,0.0,0.0,1.4587390245802595e-16
csuite_mixed_confounding,200,TabPFN DAG-aware,CMD,100,2.119890089902937,0.42983048641046107,1.6917547339472518,1.691506161992562,1.9482799225479546e-18,1.0,0.0,0.0,1.4583275902991996e-16
csuite_mixed_confounding,200,TabPFN vanilla original,CMD,100,2.119890089902937,0.4920901122542575,1.6264240232318155,1.6143369669206074,1.9482799225479546e-18,1.0,0.0,0.0,1.4600563538316172e-16
csuite_mixed_confounding,200,TabPFN vanilla topological,CMD,100,2.119890089902937,0.46876677602430816,1.639946229905814,1.643376838217747,1.9482799225479546e-18,1.0,0.0,0.0,1.4587390245802595e-16
csuite_mixed_confounding,500,TabPFN DAG-aware,CMD,100,2.1172704051795246,0.3672585011489588,1.745774960859435,1.7437882949442092,1.9482799225479546e-18,1.0,0.0,0.0,1.4583275902991996e-16
csuite_mixed_confounding,500,TabPFN vanilla original,CMD,100,2.1172704051795246,0.41518376993090905,1.698187961181977,1.690164667314399,1.9482799225479546e-18,1.0,0.0,0.0,1.4600563538316172e-16
csuite_mixed_confounding,500,TabPFN vanilla topological,CMD,100,2.1172704051795246,0.39226781945764877,1.7183359331540242,1.7175152488543874,1.9482799225479546e-18,1.0,0.0,0.0,1.4587390245802595e-16
csuite_symprod_simpson,20,TabPFN DAG-aware,CMD,100,2.2820562514859937,0.33378319794817646,1.9317000290335922,1.8934630616460604,1.9482799225479546e-18,1.0,0.0,0.0,1.4583275902991996e-16
