scope,dataset,train_size,metric,baseline,comparator,n_pairs,median_baseline,median_comparator,hl_baseline_minus_comparator,p_raw,p_holm,significant,direction
regular_7_dag_aware,custom_scm,20,correlation_matrix_difference,random_order,dag_topological,100,0.35553351349514895,0.13005715308822,0.21180664851017747,4.338759045761872e-13,1.2582401232709428e-11,True,comparator_wins
regular_7_dag_aware,custom_scm,20,k_marginal_tvd,random_order,dag_topological,100,0.27241666666666664,0.2602083333333334,0.010437499999999968,4.729993134707843e-06,8.986986955944901e-05,True,comparator_wins
regular_7_dag_aware,custom_scm,20,nnaa,random_order,dag_topological,100,0.54425,0.5462499999999999,0.0006250000000000422,0.6511611131282635,1.0,False,not_significant
regular_7_dag_aware,custom_scm,20,correlation_matrix_difference,vanilla_original,dag_topological,100,0.4713171945798596,0.13005715308822,0.33406177641306983,1.273307953842098e-16,4.201916247678923e-15,True,comparator_wins
regular_7_dag_aware,custom_scm,20,k_marginal_tvd,vanilla_original,dag_topological,100,0.27737500000000004,0.2602083333333334,0.017041666666666747,5.5487553461043e-10,1.553651496909204e-08,True,comparator_wins
regular_7_dag_aware,custom_scm,20,nnaa,vanilla_original,dag_topological,100,0.5555,0.5462499999999999,0.008625000000000077,1.8994190225937614e-06,2.8491285338906422e-05,True,comparator_wins
regular_7_dag_aware,custom_scm,50,correlation_matrix_difference,random_order,dag_topological,100,0.2525259064126705,0.13535871787726014,0.1262561294024705,1.4466417063919293e-12,3.905932607258209e-11,True,comparator_wins
regular_7_dag_aware,custom_scm,50,k_marginal_tvd,random_order,dag_topological,100,0.24179166666666663,0.2348333333333333,0.0054166666666667015,1.4300154164228972e-05,0.0002574027749561215,True,comparator_wins
regular_7_dag_aware,custom_scm,50,nnaa,random_order,dag_topological,100,0.5229999999999999,0.516125,0.004999999999999949,0.000821211933517311,0.006569695468138488,True,comparator_wins
regular_7_dag_aware,custom_scm,50,correlation_matrix_difference,vanilla_original,dag_topological,100,0.2852157133010188,0.13535871787726014,0.15625374159153194,1.0240740550959064e-14,3.072222165287719e-13,True,comparator_wins
regular_7_dag_aware,custom_scm,50,k_marginal_tvd,vanilla_original,dag_topological,100,0.24404166666666666,0.2348333333333333,0.007875000000000007,5.2732942747642215e-09,1.2655906259434132e-07,True,comparator_wins
regular_7_dag_aware,custom_scm,50,nnaa,vanilla_original,dag_topological,100,0.523,0.516125,0.00587499999999995,2.4358903063505577e-05,0.0003166657398255725,True,comparator_wins
regular_7_dag_aware,custom_scm,100,correlation_matrix_difference,random_order,dag_topological,100,0.14720939146245215,0.08507461325068814,0.06926194213695666,3.9466942854531636e-09,7.498719142361011e-08,True,comparator_wins
regular_7_dag_aware,custom_scm,100,k_marginal_tvd,random_order,dag_topological,100,0.22537499999999994,0.2218333333333333,0.0033749999999999544,0.002954275641083958,0.023634205128671665,True,comparator_wins
regular_7_dag_aware,custom_scm,100,nnaa,random_order,dag_topological,100,0.5117499999999999,0.509125,0.0023749999999999605,0.09369646187477186,0.37478584749908744,False,not_significant
regular_7_dag_aware,custom_scm,100,correlation_matrix_difference,vanilla_original,dag_topological,100,0.19582578862665045,0.08507461325068814,0.11445565046027045,2.2347168304074689e-13,6.033735442100166e-12,True,comparator_wins
regular_7_dag_aware,custom_scm,100,k_marginal_tvd,vanilla_original,dag_topological,100,0.22549999999999995,0.2218333333333333,0.003750000000000052,0.0022379813712063174,0.01790385096965054,True,comparator_wins
regular_7_dag_aware,custom_scm,100,nnaa,vanilla_original,dag_topological,100,0.512875,0.509125,0.003499999999999892,0.021238163939737112,0.12742898363842267,False,not_significant
regular_7_dag_aware,custom_scm,200,correlation_matrix_difference,random_order,dag_topological,100,0.1323433776729104,0.085920047690749,0.060036661909365796,6.606662752812207e-10,1.3213325505624415e-08,True,comparator_wins
regular_7_dag_aware,custom_scm,200,k_marginal_tvd,random_order,dag_topological,100,0.21983333333333324,0.21779166666666666,0.0020833333333333537,0.024314726820977624,0.07294418046293287,False,not_significant
regular_7_dag_aware,custom_scm,200,nnaa,random_order,dag_topological,100,0.508875,0.508375,0.0011250000000000288,0.39667735083909084,1.0,False,not_significant
regular_7_dag_aware,custom_scm,200,correlation_matrix_difference,vanilla_original,dag_topological,100,0.1541546026331061,0.085920047690749,0.08563289150773402,1.3379830845101028e-10,3.2111594028242466e-09,True,comparator_wins
