noise_level,train_size,cmd_hl_vanilla_minus_cpdag,cmd_ci_lower_holm,cmd_ci_upper_holm,cmd_p_holm,cmd_holm_significant,cpdag_exact_recovery
0.1,20,0.0,0.0,0.003683002530416,0.0004644760342287,True,0.17
0.1,50,0.0,0.0,0.0216173379300348,0.0001767799402737,True,0.35
0.1,100,0.0270594905433139,0.000416753543358,0.0490493195306547,8.37196823487951e-05,True,0.48
0.1,200,0.0610407672730243,0.046338104311828,0.0757469319768245,3.6140051263498027e-12,True,0.94
0.1,500,0.0405901769863734,0.0306085865300485,0.0498342000430941,2.5519374341677256e-11,True,1.0
0.2,20,0.0041272886544561,0.0009805581995812,0.0435492312277891,0.0001088288424403,True,0.35
0.2,50,0.0918502490071155,0.0601656693771964,0.1242950741407923,8.730783715417029e-13,True,0.86
0.2,100,0.0681364403731179,0.0443447069315678,0.0899984104825242,9.38602455126665e-10,True,0.92
0.2,200,0.0532620366170024,0.0347135374006816,0.0728630204127167,1.5000577045203043e-10,True,0.98
0.2,500,0.0318783819486841,0.0188790491345807,0.0438095132411815,2.0375436976405395e-07,True,0.99
0.5,20,0.0743160933847704,0.0331022984118878,0.1044943258562863,3.5077744529058778e-06,True,0.5
0.5,50,0.0977027370008411,0.0758009075506133,0.1218892260238299,1.317015925210681e-13,True,0.94
0.5,100,0.0420633956796455,0.02729521479998,0.0563228646666196,7.40362851994713e-08,True,0.92
0.5,200,0.0310338269047962,0.0190655652122331,0.0445554811881188,1.2359036685441764e-06,True,0.96
0.5,500,0.0110670838690308,0.0022476898954851,0.0204131597142569,0.0172636744757488,True,0.94
