source,dataset,sample_size,baseline,condition,n_pairs,median_baseline,median_condition,effect_hl,effect_ci_lower,effect_ci_upper,statistic,p_value,p_value_holm,holm_significant
cleaned_interventional_archive,csuite_large_backdoor,20,vanilla_original,cpdag_discovered_original,100,1.0,1.0,0.0,0.0,0.0,191.0,0.02168208173773595,0.06504624521320786,False
cleaned_interventional_archive,csuite_large_backdoor,20,vanilla_original,cpdag_minimal_original,100,1.0,1.0,0.0,0.0,0.0,626.0,0.30944122656904327,0.6188824531380865,False
cleaned_interventional_archive,csuite_large_backdoor,20,vanilla_original,dag_topological,100,1.0,1.0,0.0,0.0,0.0,732.5,0.5062109530122609,0.6188824531380865,False
cleaned_interventional_archive,csuite_large_backdoor,50,vanilla_original,cpdag_discovered_original,100,0.9740932642487048,0.9736131224239724,0.00033960662232901395,-0.003078959484346222,0.0056154333846572535,2353.0,0.6632150058439584,1.0,False
cleaned_interventional_archive,csuite_large_backdoor,50,vanilla_original,cpdag_minimal_original,100,0.9740932642487048,0.9786096256684492,0.0024651508857378712,-0.004782461486372069,0.0080232064525258,2304.0,0.5177004029476261,1.0,False
cleaned_interventional_archive,csuite_large_backdoor,50,vanilla_original,dag_topological,100,0.9740932642487048,0.9728260869565216,-0.0023427596500904535,-0.00789430628272253,0.0045787545787545625,2342.5,0.5938634468111459,1.0,False
cleaned_interventional_archive,csuite_large_backdoor,100,vanilla_original,cpdag_discovered_original,100,0.9607843137254902,0.9648044231721407,0.003320446170110236,-0.003219906260717109,0.010117288924702317,2207.0,0.29580358352382374,0.8874107505714712,False
cleaned_interventional_archive,csuite_large_backdoor,100,vanilla_original,cpdag_minimal_original,100,0.9607843137254902,0.9585176085176086,0.0,-0.006578366445916195,0.0065783664459161395,2495.0,0.9670786361421899,0.9670786361421899,False
cleaned_interventional_archive,csuite_large_backdoor,100,vanilla_original,dag_topological,100,0.9607843137254902,0.9573154861498421,-0.00339869281045746,-0.009868421052631582,0.0032051282051281937,2191.0,0.3003357839936024,0.8874107505714712,False
cleaned_interventional_archive,csuite_large_backdoor,200,vanilla_original,cpdag_discovered_original,100,0.9700370328807092,0.9708029197080292,0.0033426181881711925,-0.003542673107890415,0.00760731227583028,2255.0,0.41478188395911875,0.41478188395911875,False
cleaned_interventional_archive,csuite_large_backdoor,200,vanilla_original,cpdag_minimal_original,100,0.9700370328807092,0.9787962037962038,0.011111111111111016,0.0048251858883087695,0.015251095382541213,1276.5,3.144846000133472e-05,9.434538000400417e-05,True
cleaned_interventional_archive,csuite_large_backdoor,200,vanilla_original,dag_topological,100,0.9700370328807092,0.9629609306409133,-0.007574412687141291,-0.014285714285714401,-0.0018973274787227878,1770.5,0.012380292437503248,0.024760584875006496,True
cleaned_interventional_archive,csuite_large_backdoor,500,vanilla_original,cpdag_discovered_original,100,0.9911109355246523,0.9824561403508772,-0.008184191268558821,-0.012708052181736429,-0.0003316138540899183,1600.0,0.005155132514809338,0.005529591010977607,True
cleaned_interventional_archive,csuite_large_backdoor,500,vanilla_original,cpdag_minimal_original,100,0.9911109355246523,0.991304347826087,0.004464285714285698,0.004273504273504425,0.008733790999237212,1248.0,9.4686592012773e-05,0.000284059776038319,True
cleaned_interventional_archive,csuite_large_backdoor,500,vanilla_original,dag_topological,100,0.9911109355246523,0.9823008849557522,-0.004424778761061898,-0.008695652173913104,-0.00022886786695142103,1543.5,0.0027647955054888036,0.005529591010977607,True
cleaned_interventional_archive,csuite_large_backdoor,1000,vanilla_original,cpdag_discovered_original,100,0.990909090909091,0.9636363636363636,-0.032110091743119296,-0.04066339066339064,-0.027272727272727282,218.5,8.356430592907313e-15,2.5069291778721937e-14,True
cleaned_interventional_archive,csuite_large_backdoor,1000,vanilla_original,cpdag_minimal_original,100,0.990909090909091,0.990909090909091,-0.004421853045706248,-0.004628857381150986,0.0,1850.0,0.11097249932612502,0.15412665446890392,False
cleaned_interventional_archive,csuite_large_backdoor,1000,vanilla_original,dag_topological,100,0.990909090909091,0.9908256880733946,-0.004461279461279499,-0.004587155963302669,0.0,1800.0,0.07706332723445196,0.15412665446890392,False
cleaned_interventional_archive,csuite_mixed_confounding,20,vanilla_original,cpdag_discovered_original,100,1.0,1.0,0.0,0.0,0.0,732.0,0.6373518882339371,1.0,False
cleaned_interventional_archive,csuite_mixed_confounding,20,vanilla_original,cpdag_minimal_original,100,1.0,1.0,0.0,0.0,0.0,561.0,0.5929800980174267,1.0,False
cleaned_interventional_archive,csuite_mixed_confounding,20,vanilla_original,dag_topological,100,1.0,1.0,0.0,0.0,0.0,475.0,0.763024600552995,1.0,False
cleaned_interventional_archive,csuite_mixed_confounding,50,vanilla_original,cpdag_discovered_original,100,1.0,1.0,0.0,0.0,0.0,733.5,0.9719972759851729,1.0,False
cleaned_interventional_archive,csuite_mixed_confounding,50,vanilla_original,cpdag_minimal_original,100,1.0,1.0,0.0,0.0,0.0,560.0,0.7635466335819836,1.0,False
cleaned_interventional_archive,csuite_mixed_confounding,50,vanilla_original,dag_topological,100,1.0,1.0,0.0,0.0,0.0,560.0,0.7635466335819836,1.0,False
cleaned_interventional_archive,csuite_mixed_confounding,100,vanilla_original,cpdag_discovered_original,100,1.0,1.0,0.0,0.0,0.0,975.5,0.8224745655692176,1.0,False
cleaned_interventional_archive,csuite_mixed_confounding,100,vanilla_original,cpdag_minimal_original,100,1.0,1.0,0.0,0.0,0.0,889.0,0.7863881190786918,1.0,False
cleaned_interventional_archive,csuite_mixed_confounding,100,vanilla_original,dag_topological,100,1.0,1.0,0.0,0.0,0.0,951.0,0.40464766230457216,1.0,False
cleaned_interventional_archive,csuite_mixed_confounding,200,vanilla_original,cpdag_discovered_original,100,1.0,1.0,0.0,0.0,-1.6653345369377348e-16,894.0,0.09856822526007981,0.24245562392400222,False
cleaned_interventional_archive,csuite_mixed_confounding,200,vanilla_original,cpdag_minimal_original,100,1.0,1.0,0.0,0.0,0.0,992.0,0.08081854130800074,0.24245562392400222,False
cleaned_interventional_archive,csuite_mixed_confounding,200,vanilla_original,dag_topological,100,1.0,1.0,0.0,0.0,0.0,636.0,0.13483645105158926,0.24245562392400222,False
cleaned_interventional_archive,csuite_mixed_confounding,500,vanilla_original,cpdag_discovered_original,100,1.0,1.0,-0.0025380710659898,-0.002538071065989911,-1.1102230246251565e-16,927.5,0.00030411681627054904,0.0006082336325410981,True
cleaned_interventional_archive,csuite_mixed_confounding,500,vanilla_original,cpdag_minimal_original,100,1.0,1.0,0.0,-0.0025379382522239813,-1.1102230246251565e-16,1313.0,0.042202696965732076,0.042202696965732076,True
cleaned_interventional_archive,csuite_mixed_confounding,500,vanilla_original,dag_topological,100,1.0,0.9949238578680204,-0.002551020408163185,-0.0050761421319796,-0.0025380710659898,719.0,4.872391097245547e-07,1.4617173291736642e-06,True
cleaned_interventional_archive,csuite_mixed_confounding,1000,vanilla_original,cpdag_discovered_original,100,0.9898218170516937,0.9948186528497408,5.260250913979858e-05,5.551115123125783e-17,0.0025773195876288013,1626.0,0.04607809005876778,0.04607809005876778,True
cleaned_interventional_archive,csuite_mixed_confounding,1000,vanilla_original,cpdag_minimal_original,100,0.9898218170516937,0.9897435897435898,-0.002564102564102666,-0.005102040816326425,-0.002486008069764456,1440.5,0.0008109753481864749,0.002432926044559425,True
cleaned_interventional_archive,csuite_mixed_confounding,1000,vanilla_original,dag_topological,100,0.9898218170516937,0.9897435897435898,-0.0025641025641024995,-0.0050761421319796,-1.1102230246251565e-16,1470.0,0.004818997004344592,0.009637994008689183,True
cleaned_interventional_archive,csuite_mixed_simpson,20,vanilla_original,cpdag_discovered_original,100,1.0,1.0,0.0,0.0,0.0,1024.5,0.2724240612988037,0.6858034665219995,False
cleaned_interventional_archive,csuite_mixed_simpson,20,vanilla_original,cpdag_minimal_original,100,1.0,1.0,0.0,0.0,0.0,1215.0,0.8905137609827802,0.8905137609827802,False
cleaned_interventional_archive,csuite_mixed_simpson,20,vanilla_original,dag_topological,100,1.0,1.0,0.0,0.0,0.0,1155.0,0.22860115550733318,0.6858034665219995,False
cleaned_interventional_archive,csuite_mixed_simpson,50,vanilla_original,cpdag_discovered_original,100,1.0,1.0,0.0,0.0,0.0,1319.5,0.25850254007684315,0.7755076202305294,False
cleaned_interventional_archive,csuite_mixed_simpson,50,vanilla_original,cpdag_minimal_original,100,1.0,1.0,0.0,-0.028205128205128105,0.0,1517.5,0.27581723530058977,0.7755076202305294,False
cleaned_interventional_archive,csuite_mixed_simpson,50,vanilla_original,dag_topological,100,1.0,1.0,0.0,0.0,0.0,1619.0,0.6079944985759759,0.7755076202305294,False
cleaned_interventional_archive,csuite_mixed_simpson,100,vanilla_original,cpdag_discovered_original,100,1.0,1.0,0.0,0.0,0.021428571428571463,1489.5,0.27175032095532925,0.8152509628659877,False
cleaned_interventional_archive,csuite_mixed_simpson,100,vanilla_original,cpdag_minimal_original,100,1.0,0.9090909090909092,0.0,-0.045454545454545414,0.0,1868.5,0.4634004597779503,0.9268009195559006,False
cleaned_interventional_archive,csuite_mixed_simpson,100,vanilla_original,dag_topological,100,1.0,0.9090909090909092,0.0,-0.03535353535353536,0.019480519480519487,2135.0,0.94495656410864,0.94495656410864,False
cleaned_interventional_archive,csuite_mixed_simpson,200,vanilla_original,cpdag_discovered_original,100,0.8888888888888888,0.8452380952380952,-0.011904761904761862,-0.08035714285714285,0.0,1773.0,0.15721800224278482,0.47165400672835445,False
cleaned_interventional_archive,csuite_mixed_simpson,200,vanilla_original,cpdag_minimal_original,100,0.8888888888888888,0.875,0.0,-0.055555555555555525,0.0,1798.5,0.40481738465232475,0.6539757583659911,False
cleaned_interventional_archive,csuite_mixed_simpson,200,vanilla_original,dag_topological,100,0.8888888888888888,0.875,0.0,-0.059523809523809534,0.0,1896.0,0.32698787918299554,0.6539757583659911,False
