algorithm,column_order,train_size,seed,correlation_matrix_difference,k_marginal_tvd,nnaa,nnaa_raw
vanilla,original,20,0,0.5753903838515335,0.3518333333333334,0.10125000000000006,0.6012500000000001
vanilla,original,20,1,0.2965026708697026,0.3599166666666667,0.15649999999999997,0.6565
vanilla,original,20,2,0.5133900964832391,0.3531666666666667,0.1432500000000001,0.6432500000000001
vanilla,original,20,3,0.0993984676301721,0.32725,0.11824999999999997,0.61825
vanilla,original,20,4,0.3366679445958336,0.36025,0.16649999999999998,0.6665
vanilla,original,20,5,0.0695111549399398,0.30425,0.11125000000000007,0.6112500000000001
vanilla,original,20,6,0.2276629034489261,0.356,0.132,0.632
vanilla,original,20,7,0.3152489300152918,0.3102499999999999,0.10949999999999993,0.6094999999999999
vanilla,original,20,8,0.2135181211334666,0.3193333333333334,0.11850000000000005,0.6185
vanilla,original,20,9,0.792852219769591,0.3364166666666666,0.1140000000000001,0.6140000000000001
vanilla,original,20,10,0.2925577628838791,0.3303333333333333,0.12475000000000003,0.62475
vanilla,original,20,12,0.0513806851286946,0.368,0.1755,0.6755
vanilla,original,20,13,0.3405558891782036,0.3668333333333334,0.13875000000000004,0.63875
vanilla,original,20,14,0.3835463503575333,0.3428333333333333,0.12175000000000002,0.62175
vanilla,original,20,15,0.580241377300585,0.3356666666666667,0.11975000000000002,0.61975
vanilla,original,20,16,0.0598290975594498,0.3575833333333333,0.14050000000000007,0.6405000000000001
vanilla,original,20,17,0.0375682655039594,0.3374166666666667,0.12,0.62
vanilla,original,20,18,0.181136558622071,0.3463333333333334,0.13250000000000006,0.6325000000000001
vanilla,original,20,19,0.3310681005249038,0.3556666666666666,0.09599999999999997,0.596
vanilla,original,20,20,0.1985306160563045,0.3239166666666667,0.11349999999999993,0.6134999999999999
vanilla,original,20,21,0.3450484382914926,0.3444166666666667,0.14825,0.64825
vanilla,original,20,22,0.5682067896820104,0.3168333333333334,0.11499999999999999,0.615
vanilla,original,20,23,0.1336594129002594,0.372,0.14375000000000004,0.64375
vanilla,original,20,24,0.5296708936683597,0.3686666666666667,0.15449999999999997,0.6545
vanilla,original,20,25,0.2205721036361825,0.3388333333333333,0.11150000000000004,0.6115
vanilla,original,20,26,0.3720487764615317,0.3036666666666667,0.14074999999999993,0.6407499999999999
vanilla,original,20,27,0.5910275551101021,0.3541666666666667,0.12524999999999997,0.62525
vanilla,original,20,28,0.4104945559747571,0.3594166666666667,0.13924999999999998,0.63925
vanilla,original,20,29,0.2028696779537246,0.3574166666666667,0.14800000000000002,0.648
vanilla,original,20,30,0.4540853619991999,0.345,0.138,0.638
vanilla,original,20,31,0.558458560862998,0.2978333333333334,0.0794999999999999,0.5794999999999999
vanilla,original,20,32,0.1537943236116262,0.3638333333333334,0.11299999999999999,0.613
vanilla,original,20,33,0.7411883920026452,0.3145833333333334,0.12074999999999991,0.6207499999999999
vanilla,original,20,34,1.2993927623492771,0.3563333333333334,0.13850000000000007,0.6385000000000001
vanilla,original,20,35,0.7191464572714438,0.3613333333333333,0.1392500000000001,0.6392500000000001
vanilla,original,20,36,0.0810155860435259,0.35525,0.15125,0.65125
vanilla,original,20,37,0.3346825974325064,0.3249166666666667,0.1120000000000001,0.6120000000000001
vanilla,original,20,38,0.0666833195915235,0.389,0.15025,0.65025
vanilla,original,20,39,0.4158897628679248,0.3458333333333334,0.12250000000000005,0.6225
vanilla,original,20,40,0.3424481810658018,0.31775,0.12650000000000006,0.6265000000000001
vanilla,original,20,41,0.8096694403554023,0.4124166666666667,0.13474999999999993,0.6347499999999999
vanilla,original,20,42,0.0800411536183445,0.3089166666666667,0.12475000000000003,0.62475
vanilla,original,20,43,0.0949743905533076,0.3576666666666667,0.1772499999999999,0.6772499999999999
vanilla,original,20,44,0.4624673633773257,0.3611666666666666,0.16025,0.66025
vanilla,original,20,45,0.1852417753726555,0.3459166666666667,0.13549999999999995,0.6355
vanilla,original,20,46,0.1386749529221415,0.3985833333333334,0.14825,0.64825
vanilla,original,20,47,0.0895068664624557,0.3529166666666667,0.12650000000000006,0.6265000000000001
vanilla,original,20,48,0.0909019366385617,0.30725,0.10349999999999993,0.6034999999999999
vanilla,original,20,49,0.7723517900552561,0.295,0.08850000000000002,0.5885
vanilla,original,20,50,0.1112636614006524,0.3025,0.10250000000000004,0.6025
vanilla,original,20,51,0.6522782569259766,0.3369166666666667,0.11499999999999999,0.615
vanilla,original,20,52,0.1426764725218734,0.31575,0.10850000000000004,0.6085
vanilla,original,20,53,0.2535478300884458,0.3274166666666667,0.123,0.623
vanilla,original,20,54,0.1597805431571205,0.294,0.07425000000000004,0.57425
vanilla,original,20,55,0.3252083278067254,0.3743333333333334,0.16949999999999998,0.6695
vanilla,original,20,56,0.2299526493745283,0.3539166666666667,0.11024999999999996,0.61025
vanilla,original,20,57,0.4508579035884784,0.3085,0.1100000000000001,0.6100000000000001
vanilla,original,20,58,0.6008145927947741,0.3986666666666667,0.14525,0.64525
vanilla,original,20,59,0.3545633984527507,0.3321666666666667,0.13175000000000003,0.63175
vanilla,original,20,61,0.4483189062600929,0.3166666666666667,0.08274999999999999,0.58275
vanilla,original,20,62,0.5460823820255659,0.3643333333333333,0.1479999999999999,0.6479999999999999
vanilla,original,20,63,0.877346284584563,0.4352500000000001,0.17100000000000004,0.671
vanilla,original,20,64,0.6015844806127325,0.303,0.11199999999999999,0.612
vanilla,original,20,65,0.5222043281365946,0.33275,0.14425,0.64425
vanilla,original,20,66,0.405651100165894,0.38025,0.15274999999999994,0.6527499999999999
vanilla,original,20,67,0.1633979079134111,0.3380833333333333,0.12975000000000003,0.62975
vanilla,original,20,68,0.2277424131236828,0.3196666666666667,0.09624999999999995,0.59625
vanilla,original,20,69,0.333484000943784,0.3566666666666667,0.13375000000000004,0.63375
vanilla,original,20,70,0.2644677495764965,0.3705,0.17225000000000001,0.67225
vanilla,original,20,71,0.9097886565491854,0.34825,0.13749999999999996,0.6375
vanilla,original,20,72,0.1346135521255006,0.3221666666666667,0.10699999999999998,0.607
vanilla,original,20,73,0.1115539642148192,0.3514166666666667,0.14049999999999996,0.6405
vanilla,original,20,74,0.4474053725354693,0.3739166666666667,0.1499999999999999,0.6499999999999999
vanilla,original,20,75,0.2244031729001473,0.3225,0.08099999999999996,0.581
vanilla,original,20,76,0.1111818323282591,0.3006666666666667,0.10975000000000001,0.60975
vanilla,original,20,77,0.2724581548074518,0.3966666666666667,0.17775000000000007,0.6777500000000001
vanilla,original,20,78,0.4029041208681093,0.3718333333333334,0.15700000000000003,0.657
vanilla,original,20,79,0.1405035544913174,0.30875,0.10799999999999998,0.608
vanilla,original,20,80,0.5845139366170031,0.4023333333333332,0.14900000000000002,0.649
vanilla,original,20,81,0.445706891363802,0.3427499999999999,0.14225,0.64225
vanilla,original,20,82,0.4101933357046987,0.4069166666666666,0.16149999999999998,0.6615
vanilla,original,20,83,0.8212635022492014,0.3350833333333332,0.14725,0.64725
vanilla,original,20,84,0.6077510849139296,0.3685,0.13450000000000006,0.6345000000000001
vanilla,original,20,85,0.0779059219929146,0.4118333333333333,0.16300000000000003,0.663
vanilla,original,20,86,1.068081171164005,0.4636666666666666,0.18525000000000003,0.68525
vanilla,original,20,87,0.495494713639352,0.32975,0.10799999999999998,0.608
vanilla,original,20,88,0.0808278074452236,0.296,0.07725000000000004,0.57725
vanilla,original,20,89,0.935069978326918,0.3478333333333334,0.139,0.639
vanilla,original,20,90,0.2323722846792563,0.3373333333333333,0.14450000000000007,0.6445000000000001
vanilla,original,20,91,0.2883062627272578,0.4193333333333333,0.17700000000000005,0.677
vanilla,original,20,92,0.3333436102661696,0.3926666666666666,0.16625,0.66625
vanilla,original,20,93,0.5668963700938559,0.32175,0.11349999999999993,0.6134999999999999
vanilla,original,20,94,0.1291088080171316,0.3830833333333334,0.16700000000000004,0.667
vanilla,original,20,95,0.0945745100350331,0.3278333333333333,0.14325,0.64325
vanilla,original,20,96,0.1278801485548266,0.3589166666666667,0.15300000000000002,0.653
vanilla,original,20,97,0.0943599991623388,0.3866666666666667,0.14949999999999997,0.6495
vanilla,original,20,98,0.3903701805903033,0.3203333333333333,0.10549999999999993,0.6054999999999999
vanilla,original,20,99,0.5003400402378866,0.3905,0.15349999999999997,0.6535
vanilla,original,20,100,0.4004135937145824,0.3275,0.13675000000000004,0.63675
vanilla,original,20,101,0.9065023999495117,0.35775,0.12724999999999997,0.62725
vanilla,original,50,150,0.1095300715567608,0.2485833333333333,0.052750000000000075,0.5527500000000001
vanilla,original,50,151,0.1484926609598305,0.258,0.04700000000000004,0.547
vanilla,original,50,152,0.2376641679760686,0.2515833333333334,0.06499999999999995,0.565
vanilla,original,50,153,0.2800075977406007,0.2828333333333333,0.10399999999999998,0.604
vanilla,original,50,154,0.5774447265055643,0.3358333333333334,0.10875000000000001,0.60875
vanilla,original,50,155,0.0575343818091386,0.2680833333333333,0.07525000000000004,0.57525
vanilla,original,50,156,0.2507357231011895,0.2793333333333334,0.09175,0.59175
vanilla,original,50,157,0.0658318524249442,0.2643333333333333,0.04774999999999996,0.54775
vanilla,original,50,158,0.309024523833206,0.2565833333333334,0.0754999999999999,0.5754999999999999
vanilla,original,50,159,0.354854825781362,0.3078333333333333,0.07800000000000007,0.5780000000000001
vanilla,original,50,160,0.3275466324317312,0.287,0.06525000000000003,0.56525
vanilla,original,50,161,0.1160307018142587,0.2521666666666667,0.06325000000000003,0.56325
vanilla,original,50,162,0.1437456910113703,0.2601666666666666,0.07699999999999996,0.577
vanilla,original,50,164,0.2564373187965322,0.2676666666666667,0.0605,0.5605
vanilla,original,50,165,0.202188410599035,0.2975,0.08599999999999997,0.586
vanilla,original,50,166,0.1536781224242856,0.2869166666666667,0.0675,0.5675
vanilla,original,50,167,0.0286035525231437,0.2733333333333334,0.09475,0.59475
vanilla,original,50,168,0.0672603815887346,0.2614166666666667,0.0665,0.5665
vanilla,original,50,169,0.543670033455914,0.26275,0.0535000000000001,0.5535000000000001
vanilla,original,50,172,0.2703293938901298,0.25775,0.055749999999999966,0.55575
vanilla,original,50,173,0.1522994041117342,0.29875,0.09575,0.59575
vanilla,original,50,174,0.3800081826927847,0.2978333333333333,0.07450000000000001,0.5745
vanilla,original,50,175,0.181467034312993,0.2470833333333333,0.052999999999999936,0.5529999999999999
vanilla,original,50,176,0.2072725418949977,0.2915,0.10499999999999998,0.605
vanilla,original,50,177,0.0694904842762496,0.2766666666666666,0.053749999999999964,0.55375
vanilla,original,50,178,0.7373298308665546,0.2966666666666667,0.09350000000000003,0.5935
vanilla,original,50,179,0.5218568468990478,0.2635833333333333,0.06074999999999997,0.56075
vanilla,original,50,180,0.6525391810101648,0.2759166666666667,0.07024999999999992,0.5702499999999999
vanilla,original,50,181,0.0634973877216285,0.2760833333333334,0.10325000000000006,0.6032500000000001
vanilla,original,50,182,0.3399077762440269,0.3047500000000001,0.09125000000000005,0.59125
